"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","44-45","54","0","2016","A","","Alabama -- Statewide","Federal Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",12,831,50784723,0,0,1175,61119,"",1.39,1.33,3.05,0.00,0.00,2.29,2.29,"",0,0.0,-48,-5.5,2365360,4.9,0,0.0,0,0.0,115,10.8,6008,10.9
"01000","2","44-45","54","0","2016","A","N","Alabama -- Statewide","State Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",173,0,0,0,0,0,0,"N",32.41,0,0,0,0,0,0,"N",1,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","44-45","54","0","2016","A","N","Alabama -- Statewide","Local Government","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","44-45","54","0","2016","A","","Alabama -- Statewide","Private","NAICS 44-45 Retail trade","State, NAICS Sector -- by ownership sector","All establishment sizes",18355,233000,6290577778,2038004469,24592074,519,26998,"",1.40,1.09,1.16,1.17,1.16,1.06,1.07,"",174,1.0,1938,0.8,172336283,2.8,22124350,1.1,-7926410,-24.4,10,2.0,519,2.0
"01001","2","44-45","74","0","2016","A","N","Autauga County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",53.29,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","44-45","74","0","2016","A","","Autauga County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",147,1699,42259272,14197844,181806,478,24871,"",1.59,1.42,1.72,1.62,1.84,1.21,1.21,"",1,0.7,-105,-5.8,834883,2.0,-422428,-2.9,-69168,-27.6,36,8.1,1912,8.3
"01003","2","44-45","74","0","2016","A","","Baldwin County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",10,40,1080264,0,0,522,27120,"",39.36,10.76,15.35,0.00,0.00,1.43,1.43,"",0,0.0,2,5.3,42225,4.1,0,0.0,0,0.0,-6,-1.1,-317,-1.2
"01003","5","44-45","74","0","2016","A","","Baldwin County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1020,13717,361405392,124867985,1531832,507,26347,"",1.63,1.75,2.38,1.85,2.09,1.36,1.36,"",22,2.2,149,1.1,10797870,3.1,981704,0.8,-511566,-25.0,10,2.0,506,2.0
"01005","2","44-45","74","0","2016","A","N","Barbour County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",83.18,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","44-45","74","0","2016","A","","Barbour County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",89,922,21798424,7886837,90142,455,23649,"",1.50,1.04,1.23,1.10,1.05,1.18,1.18,"",0,0.0,-20,-2.1,373086,1.7,-21093,-0.3,-40080,-30.8,17,3.9,898,3.9
"01007","2","44-45","74","0","2016","A","N","Bibb County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",67.20,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","44-45","74","0","2016","A","","Bibb County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",51,494,12119834,4299298,47320,472,24530,"",1.39,1.07,1.18,1.29,1.04,1.11,1.11,"",-1,-1.9,2,0.4,373549,3.2,131464,3.2,-13938,-22.8,12,2.6,635,2.7
"01009","2","44-45","74","0","2016","A","N","Blount County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",30.31,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","44-45","74","0","2016","A","","Blount County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",125,1138,27659577,9954908,101596,468,24313,"",1.54,1.25,1.60,1.49,1.60,1.28,1.27,"",3,2.5,48,4.4,2460581,9.8,796239,8.7,-35567,-25.9,23,5.2,1186,5.1
"01011","2","44-45","74","0","2016","A","N","Bullock County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",159.14,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","44-45","74","0","2016","A","","Bullock County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",22,200,3967600,1641785,23094,382,19855,"",1.42,0.61,0.64,0.62,0.58,1.06,1.06,"",-1,-4.3,-3,-1.5,-173287,-4.2,75237,4.8,-10627,-31.5,-11,-2.8,-594,-2.9
"01013","2","44-45","74","0","2016","A","N","Butler County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",47.06,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","44-45","74","0","2016","A","","Butler County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",97,911,20888122,7898356,103248,441,22920,"",1.86,1.18,1.44,1.15,1.15,1.21,1.22,"",1,1.0,25,2.8,1222010,6.2,487432,6.6,-18468,-15.2,14,3.3,730,3.3
"01015","1","44-45","74","0","2016","A","","Calhoun County, Alabama","Federal Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,781406,0,0,1670,86823,"",5.66,0.63,2.44,0.00,0.00,3.87,3.87,"",0,0.0,0,0.0,52221,7.2,0,0.0,0,0.0,112,7.2,5802,7.2
"01015","2","44-45","74","0","2016","A","N","Calhoun County, Alabama","State Government","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",36.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","44-45","74","0","2016","A","","Calhoun County, Alabama","Private","NAICS 44-45 Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",460,5912,149655188,50157091,637823,487,25315,"",1.71,1.21,1.44,1.43,1.55,1.19,1.19,"",-8,-1.7,23,0.4,6294894,4.4,662346,1.3,-166990,-20.7,19,4.1,970,4.0
